0	"navbar-brand / normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto 40px rgb(255, 255, 255) none 0px rgb(255, 255, 255) none 0px rgb(255, 255, 255) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgb(255, 255, 255) none 0px rgb(255, 255, 255) none 0px rgb(255, 255, 255) none 0px rgb(255, 255, 255) none 0px 0px 0px 0px 0px rgb(255, 255, 255) 0px 0px none 0px auto slice none border-box auto auto auto top rgb(255, 255, 255) none auto none nonzero rgb(255, 255, 255) economy srgb linearrgb auto balance normal rgb(255, 255, 255) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap none rgb(0, 0, 0) 1 -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Helvetica Neue"", Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol"" normal auto normal auto 20px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none 40px manual none auto auto 153.55px auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 30px none outside disc 0px 0px 0px 16px 0px 0px 16px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none auto auto auto auto normal fill 50% 50% auto 0px none auto 1 0 rgb(255, 255, 255) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 5px 5px 5px 0px 0px 0px 0px 5px auto auto normal none 76.7833px 20px auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto left auto start none rgb(255, 255, 255) rgb(255, 255, 255) none auto solid auto rgb(255, 255, 255) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 76.7833px 20px flat 0s 0s all ease none normal auto none baseline visible nowrap 153.55px auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgb(255, 255, 255) rgb(255, 255, 255) 0px SFMono-Regular,Menlo,Monaco,Consolas,""Liberation Mono"",""Courier New"",monospace -apple-system,BlinkMacSystemFont,""Segoe UI"",Roboto,""Helvetica Neue"",Arial,sans-serif,""Apple Color Emoji"",""Segoe UI Emoji"",""Segoe UI Symbol"" 1200px 992px 768px 576px 0 #343a40 #f8f9fa #dc3545 #ffc107 #17a2b8 #28a745 #6c757d #007bff #343a40 #6c757d #fff #17a2b8 #20c997 #28a745 #ffc107 #fd7e14 #dc3545 #e83e8c #6f42c1 #6610f2 #007bff "
1	"nav-link / normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto 40px rgb(255, 255, 255) none 0px rgb(255, 255, 255) none 0px rgb(255, 255, 255) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgb(255, 255, 255) none 0px rgb(255, 255, 255) none 0px rgb(255, 255, 255) none 0px rgb(255, 255, 255) none 0px 0px 0px 0px 0px rgb(255, 255, 255) 0px 0px none 0px auto slice none border-box auto auto auto top rgb(255, 255, 255) none auto none nonzero rgb(255, 255, 255) economy srgb linearrgb auto balance normal rgb(255, 255, 255) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap none rgb(0, 0, 0) 1 -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Helvetica Neue"", Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol"" normal auto normal auto 16px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none 40px manual none auto auto 58.9px auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 24px none outside none 0px 0px 0px 0px 0px 0px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgb(255, 255, 255) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 8px 8px 8px 8px 8px 8px 8px 8px auto auto normal none 29.45px 20px auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto left auto start none rgb(255, 255, 255) rgb(255, 255, 255) none auto solid auto rgb(255, 255, 255) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 29.45px 20px flat 0s 0s all ease none normal auto none baseline visible normal 58.9px auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgb(255, 255, 255) rgb(255, 255, 255) 0px SFMono-Regular,Menlo,Monaco,Consolas,""Liberation Mono"",""Courier New"",monospace -apple-system,BlinkMacSystemFont,""Segoe UI"",Roboto,""Helvetica Neue"",Arial,sans-serif,""Apple Color Emoji"",""Segoe UI Emoji"",""Segoe UI Symbol"" 1200px 992px 768px 576px 0 #343a40 #f8f9fa #dc3545 #ffc107 #17a2b8 #28a745 #6c757d #007bff #343a40 #6c757d #fff #17a2b8 #20c997 #28a745 #ffc107 #fd7e14 #dc3545 #e83e8c #6f42c1 #6610f2 #007bff "
2	"nav-link https://github.com/hereshem/django-ecommerce normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto 40px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px 0px 0px 0px 0px rgba(255, 255, 255, 0.5) 0px 0px none 0px auto slice none border-box auto auto auto top rgba(255, 255, 255, 0.5) none auto none nonzero rgba(255, 255, 255, 0.5) economy srgb linearrgb auto balance normal rgba(255, 255, 255, 0.5) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap none rgb(0, 0, 0) 1 -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Helvetica Neue"", Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol"" normal auto normal auto 16px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none 40px manual none auto auto 59.5667px auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 24px none outside none 0px 0px 0px 0px 0px 0px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgba(255, 255, 255, 0.5) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 8px 8px 8px 8px 8px 8px 8px 8px auto auto normal none 29.7833px 20px auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto left auto start none rgba(255, 255, 255, 0.5) rgba(255, 255, 255, 0.5) none auto solid auto rgba(255, 255, 255, 0.5) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 29.7833px 20px flat 0s 0s all ease none normal auto none baseline visible normal 59.5667px auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgba(255, 255, 255, 0.5) rgba(255, 255, 255, 0.5) 0px SFMono-Regular,Menlo,Monaco,Consolas,""Liberation Mono"",""Courier New"",monospace -apple-system,BlinkMacSystemFont,""Segoe UI"",Roboto,""Helvetica Neue"",Arial,sans-serif,""Apple Color Emoji"",""Segoe UI Emoji"",""Segoe UI Symbol"" 1200px 992px 768px 576px 0 #343a40 #f8f9fa #dc3545 #ffc107 #17a2b8 #28a745 #6c757d #007bff #343a40 #6c757d #fff #17a2b8 #20c997 #28a745 #ffc107 #fd7e14 #dc3545 #e83e8c #6f42c1 #6610f2 #007bff "
3	"nav-link /api/products/ normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto 40px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px 0px 0px 0px 0px rgba(255, 255, 255, 0.5) 0px 0px none 0px auto slice none border-box auto auto auto top rgba(255, 255, 255, 0.5) none auto none nonzero rgba(255, 255, 255, 0.5) economy srgb linearrgb auto balance normal rgba(255, 255, 255, 0.5) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap none rgb(0, 0, 0) 1 -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Helvetica Neue"", Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol"" normal auto normal auto 16px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none 40px manual none auto auto 46.3167px auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 24px none outside none 0px 0px 0px 0px 0px 0px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgba(255, 255, 255, 0.5) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 8px 8px 8px 8px 8px 8px 8px 8px auto auto normal none 23.1667px 20px auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto left auto start none rgba(255, 255, 255, 0.5) rgba(255, 255, 255, 0.5) none auto solid auto rgba(255, 255, 255, 0.5) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 23.1667px 20px flat 0s 0s all ease none normal auto none baseline visible normal 46.3167px auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgba(255, 255, 255, 0.5) rgba(255, 255, 255, 0.5) 0px SFMono-Regular,Menlo,Monaco,Consolas,""Liberation Mono"",""Courier New"",monospace -apple-system,BlinkMacSystemFont,""Segoe UI"",Roboto,""Helvetica Neue"",Arial,sans-serif,""Apple Color Emoji"",""Segoe UI Emoji"",""Segoe UI Symbol"" 1200px 992px 768px 576px 0 #343a40 #f8f9fa #dc3545 #ffc107 #17a2b8 #28a745 #6c757d #007bff #343a40 #6c757d #fff #17a2b8 #20c997 #28a745 #ffc107 #fd7e14 #dc3545 #e83e8c #6f42c1 #6610f2 #007bff "
4	"navbar-brand nofollow http://www.django-rest-framework.org normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto 50px rgb(157, 157, 157) none 0px rgb(157, 157, 157) none 0px rgb(157, 157, 157) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgb(157, 157, 157) none 0px rgb(157, 157, 157) none 0px rgb(157, 157, 157) none 0px rgb(157, 157, 157) none 0px 0px 0px 0px 0px rgb(157, 157, 157) 0px 0px none 0px auto slice none border-box auto auto auto top rgb(157, 157, 157) none auto none nonzero rgb(157, 157, 157) economy srgb linearrgb auto balance normal rgb(157, 157, 157) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap left rgb(0, 0, 0) 1 ""Helvetica Neue"", Helvetica, Arial, sans-serif normal auto normal auto 18px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none 50px manual none auto auto 229.117px auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 20px none outside disc 0px 0px 0px 0px -15px -15px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgb(157, 157, 157) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 15px 15px 15px 15px 15px 15px 15px 15px auto auto normal none 114.567px 25px auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto start auto start none rgb(157, 157, 157) rgb(157, 157, 157) none auto solid auto rgb(157, 157, 157) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 114.567px 25px flat 0s 0s all ease none normal auto none baseline visible normal 229.117px auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgb(157, 157, 157) rgb(157, 157, 157) 0px "
5	"/api/products/ normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto auto rgb(119, 119, 119) none 0px rgb(119, 119, 119) none 0px rgb(119, 119, 119) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgb(119, 119, 119) none 0px rgb(119, 119, 119) none 0px rgb(119, 119, 119) none 0px rgb(119, 119, 119) none 0px 0px 0px 0px 0px rgb(119, 119, 119) 0px 0px none 0px auto slice none border-box auto auto auto top rgb(119, 119, 119) none auto none nonzero rgb(119, 119, 119) economy srgb linearrgb auto balance normal rgb(119, 119, 119) none 0px none auto none normal none none none pointer 0px 0px ltr inline auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap none rgb(0, 0, 0) 1 ""Helvetica Neue"", Helvetica, Arial, sans-serif normal auto normal auto 14px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none auto manual none auto auto auto auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 20px none outside none 0px 0px 0px 0px 0px 0px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgb(119, 119, 119) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto normal none 40px 8px auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto left auto start none rgb(119, 119, 119) rgb(119, 119, 119) none auto solid auto rgb(119, 119, 119) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 40px 8px flat 0s 0s all ease none normal auto none baseline visible normal auto auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgb(119, 119, 119) rgb(119, 119, 119) 0px "
6	"btn btn-primary js-tooltip /api/products/ nofollow  Make a GET request on the Api Products resource normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgb(51, 122, 183) none padding-box 0% 0% 0% 0% repeat auto 34px rgb(46, 109, 164) solid 1px rgb(46, 109, 164) solid 1px rgb(46, 109, 164) 4px 0px solid 1px separate 0px 4px 0 stretch 100% none 1 rgb(46, 109, 164) solid 1px rgb(46, 109, 164) solid 1px rgb(46, 109, 164) solid 1px rgb(46, 109, 164) solid 1px 0px 0px 0px 4px rgb(46, 109, 164) 4px 0px solid 1px 0px slice none border-box auto auto auto top rgb(255, 255, 255) none auto none nonzero rgb(255, 255, 255) economy srgb linearrgb auto balance normal rgb(255, 255, 255) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap left rgb(0, 0, 0) 1 ""Helvetica Neue"", Helvetica, Arial, sans-serif normal auto normal auto 14px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none 34px manual none auto auto 55px 0px 0px 0px 0px auto normal normal auto 0px normal rgb(255, 255, 255) auto 20px none outside disc 0px 0px 0px 0px 0px 0px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgb(255, 255, 255) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 6px 6px 6px 12px 12px 12px 12px 6px auto auto normal none 27.5px 17px auto relative auto 0px none 0px none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto center auto start none rgb(255, 255, 255) rgb(255, 255, 255) none auto solid auto rgb(255, 255, 255) over right none 0px auto mixed clip auto none none auto auto 0px manipulation none border-box 27.5px 17px flat 0s 0s all ease none normal none none middle visible nowrap 55px auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgb(255, 255, 255) rgb(255, 255, 255) 0px "
7	"js-tooltip format-option /api/products/?format=json nofollow  Make a GET request on the Api Products resource with the format set to `json` normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto auto rgb(51, 51, 51) none 0px rgb(51, 51, 51) none 0px rgb(51, 51, 51) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgb(51, 51, 51) none 0px rgb(51, 51, 51) none 0px rgb(51, 51, 51) none 0px rgb(51, 51, 51) none 0px 0px 0px 0px 0px rgb(51, 51, 51) 0px 0px none 0px auto slice none border-box auto auto auto top rgb(51, 51, 51) both auto none nonzero rgb(51, 51, 51) economy srgb linearrgb auto balance normal rgb(51, 51, 51) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap none rgb(0, 0, 0) 1 Menlo, Consolas, ""Andale Mono"", ""Lucida Console"", monospace normal auto normal auto 14px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none auto manual none auto auto auto auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 20px none outside none 0px 0px 0px 0px 0px 0px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgb(51, 51, 51) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 3px 3px 3px 20px 20px 20px 20px 3px auto auto normal none 50% 50% auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto left auto start none rgb(51, 51, 51) rgb(51, 51, 51) none auto solid auto rgb(51, 51, 51) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 50% 50% flat 0s 0s all ease none normal auto none baseline visible nowrap auto auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgb(51, 51, 51) rgb(51, 51, 51) 0px "
8	"js-tooltip format-option /api/products/?format=api nofollow  Make a GET request on the Api Products resource with the format set to `api` normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto auto rgb(51, 51, 51) none 0px rgb(51, 51, 51) none 0px rgb(51, 51, 51) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgb(51, 51, 51) none 0px rgb(51, 51, 51) none 0px rgb(51, 51, 51) none 0px rgb(51, 51, 51) none 0px 0px 0px 0px 0px rgb(51, 51, 51) 0px 0px none 0px auto slice none border-box auto auto auto top rgb(51, 51, 51) both auto none nonzero rgb(51, 51, 51) economy srgb linearrgb auto balance normal rgb(51, 51, 51) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap none rgb(0, 0, 0) 1 Menlo, Consolas, ""Andale Mono"", ""Lucida Console"", monospace normal auto normal auto 14px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none auto manual none auto auto auto auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 20px none outside none 0px 0px 0px 0px 0px 0px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgb(51, 51, 51) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 3px 3px 3px 20px 20px 20px 20px 3px auto auto normal none 50% 50% auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto left auto start none rgb(51, 51, 51) rgb(51, 51, 51) none auto solid auto rgb(51, 51, 51) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 50% 50% flat 0s 0s all ease none normal auto none baseline visible nowrap auto auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgb(51, 51, 51) rgb(51, 51, 51) 0px "
9	"nav-link dropdown-toggle # navbarDropdown button dropdown true false normal normal auto 0s normal 0s none 1 none running ease visible scroll normal border-box rgba(0, 0, 0, 0) none padding-box 0% 0% 0% 0% repeat auto 40px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) 0px 0px none 0px separate 0px 0px 0 stretch 100% none 1 rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px rgba(255, 255, 255, 0.5) none 0px 0px 0px 0px 0px rgba(255, 255, 255, 0.5) 0px 0px none 0px auto slice none border-box auto auto auto top rgba(255, 255, 255, 0.5) none auto none nonzero rgba(255, 255, 255, 0.5) economy srgb linearrgb auto balance normal rgba(255, 255, 255, 0.5) none 0px none auto none normal none none none pointer 0px 0px ltr block auto show rgb(0, 0, 0) 1 nonzero none auto row 0 1 nowrap none rgb(0, 0, 0) 1 -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Helvetica Neue"", Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol"" normal auto normal auto 16px none 100% normal weight style normal normal normal normal normal normal normal normal 400 auto row auto auto auto auto auto none none none 40px manual none auto auto 112.567px auto auto auto auto auto normal normal auto auto normal rgb(255, 255, 255) auto 24px none outside none 0px 0px 0px 0px 0px 0px 0px 0px none none none none border-box add none match-source border-box 0% 0% 0% 0% repeat auto luminance none none none none 0px 0px 0px 0px normal fill 50% 50% auto 0px none auto 1 0 rgba(255, 255, 255, 0.5) 0px none 0px visible auto visible visible normal visible visible auto auto auto auto 8px 8px 8px 8px 8px 8px 8px 8px auto auto normal none 56.2833px 20px auto static auto 0px none auto none normal space-around over auto auto none auto 0px 0px 0px 0px 0px 0px 0px 0px auto auto auto auto auto auto auto auto none none auto auto 0 0px none auto rgb(0, 0, 0) 1 none none 0px butt miter 4 1 1px auto left auto start none rgba(255, 255, 255, 0.5) rgba(255, 255, 255, 0.5) none auto solid auto rgba(255, 255, 255, 0.5) over right none 0px auto mixed clip auto none none auto auto auto auto none border-box 56.2833px 20px flat 0s 0s all ease none normal auto none baseline visible normal 112.567px auto normal 0px horizontal-tb 0px 0px auto none stretch normal 0 1 horizontal start content-box 0 auto inline 0px 0px 0px 0px 8 auto none auto read-only default none rgba(255, 255, 255, 0.5) rgba(255, 255, 255, 0.5) 0px SFMono-Regular,Menlo,Monaco,Consolas,""Liberation Mono"",""Courier New"",monospace -apple-system,BlinkMacSystemFont,""Segoe UI"",Roboto,""Helvetica Neue"",Arial,sans-serif,""Apple Color Emoji"",""Segoe UI Emoji"",""Segoe UI Symbol"" 1200px 992px 768px 576px 0 #343a40 #f8f9fa #dc3545 #ffc107 #17a2b8 #28a745 #6c757d #007bff #343a40 #6c757d #fff #17a2b8 #20c997 #28a745 #ffc107 #fd7e14 #dc3545 #e83e8c #6f42c1 #6610f2 #007bff "
